feature,importance,importance_pct
cropland_pct,0.09390890793533302,9.39
tree_cover_pct,0.09362471428075225,9.36
industrial_context_score,0.08665017342125075,8.67
nearest_osm_distance_km_ml,0.08576663252093872,8.58
persistence_score,0.06300451141184506,6.3
active_days,0.06147643912488475,6.15
osm_features_5km,0.06110872816374264,6.11
quarries_5km,0.053389358017720025,5.34
mean_frp,0.04449234607545069,4.45
max_frp,0.03911954617757715,3.91
mean_bright_ti4,0.03147210014449033,3.15
total_detections,0.027489374716909633,2.75
night_ratio,0.026577424197144338,2.66
observation_span_days,0.023829066118367274,2.38
grassland_pct,0.0214174489559977,2.14
