thermal_source_id,latitude,longitude,mean_frp,max_frp,total_detections,active_days,persistence_score,recent_activity_rate,previous_23d_activity_rate,activity_change,recent_activity_status,activity_surge,strong_activity_surge,newly_emerging,high_recent_intensity,low_persistence,established_source,anomaly_score,anomaly_status,label,label_confidence,classification,classification_confidence,classification_source,confidence_type,industrial_context_score,classification_risk,anomaly_risk,industrial_risk,thermal_intensity_risk,risk_score,risk_band,sentinel_id,mgrs_tile,scene_date,cloud_cover,date_difference_days,evidence_available,evidence_quality,satellite_image_path,satellite_evidence_status
0,17.72527,95.58761,4.11,4.11,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,39.6144578313253,12.94,LOW,S2C_MSIL2A_20260718T040541_N0512_R047_T46QGE_20260718T070313,T46QGE,2026-07-18,22.33,47.0,True,WEAK,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260718T040541_N0512_R047_T46QGE_20260718T070313.jpg,AVAILABLE
1,20.49558,81.35336,9.254,20.1,5,2,1.11,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,True,True,False,30.0,WATCH,Agricultural Burning,MEDIUM,Agricultural Burning,99.67,Random Forest v1,Random Forest probability,0,35,20,0,100.0,33.25,MODERATE,S2A_MSIL2A_20260605T050231_N0512_R119_T44QNH_20260605T100518,T44QNH,2026-06-05,25.34,0.0,True,GOOD,data/raw/sentinel2/quicklooks\S2A_MSIL2A_20260605T050231_N0512_R119_T44QNH_20260605T100518.jpg,AVAILABLE
2,20.73767,81.21814,4.73,4.73,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,45.59036144578313,13.84,LOW,S2B_MSIL2A_20260601T050649_N0512_R019_T44QNH_20260601T085256,T44QNH,2026-06-01,1.94,0.0,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QNH_20260601T085256.jpg,AVAILABLE
3,20.75663,85.30083,2.2956410256410256,6.39,39,18,16.86,0.1428571428571428,0.1304347826086956,0.0124223602484472,STABLE,True,False,False,False,False,True,0.62,NORMAL / STABLE,Persistent Industrial Thermal Activity,MEDIUM,Persistent Industrial Thermal Activity,66.0,Random Forest v1,Random Forest probability,15,50,0,15,61.59036144578312,29.74,LOW,S2B_MSIL2A_20260625T044659_N0512_R076_T45QUC_20260625T082801,T45QUC,2026-06-25,29.91,62.0,True,HISTORICAL_ONLY,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260625T044659_N0512_R076_T45QUC_20260625T082801.jpg,AVAILABLE
4,20.75808,81.95934,5.11,5.11,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,49.25301204819277,14.39,LOW,S2B_MSIL2A_20260601T050649_N0512_R019_T44QNH_20260601T085256,T44QNH,2026-06-01,1.94,0.0,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QNH_20260601T085256.jpg,AVAILABLE
5,20.79237,85.25658,2.71013422818792,11.97,149,24,24.05,0.2857142857142857,0.1304347826086956,0.15527950310559,STABLE,True,False,False,True,False,True,27.76,WATCH,Industrial Fire,MEDIUM,Industrial Fire,55.0,Random Forest v1,Random Forest probability,30,90,20,30,100.0,58.5,MODERATE,S2B_MSIL2A_20260615T044659_N0512_R076_T45QUD_20260615T083228,T45QUD,2026-06-15,4.87,73.0,True,HISTORICAL_ONLY,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260615T044659_N0512_R076_T45QUD_20260615T083228.jpg,AVAILABLE
6,20.80145,84.1563,2.97,2.97,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,28.626506024096383,11.29,LOW,S2B_MSIL2A_20260605T044659_N0512_R076_T45QTD_20260605T083347,T45QTD,2026-06-05,11.49,4.0,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260605T044659_N0512_R076_T45QTD_20260605T083347.jpg,AVAILABLE
7,20.83977,84.16496,3.39,3.39,1,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,32.674698795180724,11.9,LOW,S2B_MSIL2A_20260605T044659_N0512_R076_T45QTD_20260605T083347,T45QTD,2026-06-05,11.49,4.0,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260605T044659_N0512_R076_T45QTD_20260605T083347.jpg,AVAILABLE
8,20.84129,81.77618,8.0,9.21,2,1,0.56,0.0,0.0,0.0,INACTIVE_RECENTLY,False,False,False,False,True,False,10.0,NORMAL / STABLE,Other / Unknown,LOW,Uncertain / Low Evidence,0.0,Insufficient evidence for supervised classification,Insufficient evidence,0,20,0,0,88.77108433734941,20.32,LOW,S2B_MSIL2A_20260601T050649_N0512_R019_T44QNJ_20260601T085256,T44QNJ,2026-06-01,15.41,0.0,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QNJ_20260601T085256.jpg,AVAILABLE
9,20.86138,84.99046,3.0409090909090906,9.26,66,25,17.89,0.0,0.1739130434782608,-0.1739130434782608,INACTIVE_RECENTLY,False,False,False,False,False,True,0.0,NORMAL / STABLE,Persistent Industrial Thermal Activity,MEDIUM,Persistent Industrial Thermal Activity,78.67,Random Forest v1,Random Forest probability,30,50,0,30,89.25301204819277,36.89,MODERATE,S2B_MSIL2A_20260615T044659_N0512_R076_T45QTD_20260615T083228,T45QTD,2026-06-15,3.95,68.0,True,HISTORICAL_ONLY,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260615T044659_N0512_R076_T45QTD_20260615T083228.jpg,AVAILABLE
