thermal_source_id,mgrs_tile,last_seen,sentinel_id,sensing_time,scene_date,cloud_cover,date_difference_days,status,file_path,file_size_kb,evidence_available,evidence_quality,satellite_image_path
0,T46QGE,2026-06-01,S2C_MSIL2A_20260718T040541_N0512_R047_T46QGE_20260718T070313,2026-07-18 04:05:41.025,2026-07-18,22.33,47.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260718T040541_N0512_R047_T46QGE_20260718T070313.jpg,40.19,True,WEAK,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260718T040541_N0512_R047_T46QGE_20260718T070313.jpg
1,T44QNH,2026-06-05,S2A_MSIL2A_20260605T050231_N0512_R119_T44QNH_20260605T100518,2026-06-05 05:02:31.024,2026-06-05,25.34,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2A_MSIL2A_20260605T050231_N0512_R119_T44QNH_20260605T100518.jpg,30.09,True,GOOD,data/raw/sentinel2/quicklooks\S2A_MSIL2A_20260605T050231_N0512_R119_T44QNH_20260605T100518.jpg
2,T44QNH,2026-06-01,S2B_MSIL2A_20260601T050649_N0512_R019_T44QNH_20260601T085256,2026-06-01 05:06:49.024,2026-06-01,1.94,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QNH_20260601T085256.jpg,11.34,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QNH_20260601T085256.jpg
3,T45QUC,2026-08-26,S2B_MSIL2A_20260625T044659_N0512_R076_T45QUC_20260625T082801,2026-06-25 04:46:59.024,2026-06-25,29.91,62.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260625T044659_N0512_R076_T45QUC_20260625T082801.jpg,39.03,True,HISTORICAL_ONLY,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260625T044659_N0512_R076_T45QUC_20260625T082801.jpg
4,T44QNH,2026-06-01,S2B_MSIL2A_20260601T050649_N0512_R019_T44QNH_20260601T085256,2026-06-01 05:06:49.024,2026-06-01,1.94,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QNH_20260601T085256.jpg,11.34,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QNH_20260601T085256.jpg
5,T45QUD,2026-08-27,S2B_MSIL2A_20260615T044659_N0512_R076_T45QUD_20260615T083228,2026-06-15 04:46:59.024,2026-06-15,4.87,73.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260615T044659_N0512_R076_T45QUD_20260615T083228.jpg,25.76,True,HISTORICAL_ONLY,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260615T044659_N0512_R076_T45QUD_20260615T083228.jpg
6,T45QTD,2026-06-01,S2B_MSIL2A_20260605T044659_N0512_R076_T45QTD_20260605T083347,2026-06-05 04:46:59.024,2026-06-05,11.49,4.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260605T044659_N0512_R076_T45QTD_20260605T083347.jpg,25.41,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260605T044659_N0512_R076_T45QTD_20260605T083347.jpg
7,T45QTD,2026-06-01,S2B_MSIL2A_20260605T044659_N0512_R076_T45QTD_20260605T083347,2026-06-05 04:46:59.024,2026-06-05,11.49,4.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260605T044659_N0512_R076_T45QTD_20260605T083347.jpg,25.41,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260605T044659_N0512_R076_T45QTD_20260605T083347.jpg
8,T44QNJ,2026-06-01,S2B_MSIL2A_20260601T050649_N0512_R019_T44QNJ_20260601T085256,2026-06-01 05:06:49.024,2026-06-01,15.41,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QNJ_20260601T085256.jpg,17.96,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QNJ_20260601T085256.jpg
9,T45QTD,2026-08-22,S2B_MSIL2A_20260615T044659_N0512_R076_T45QTD_20260615T083228,2026-06-15 04:46:59.024,2026-06-15,3.95,68.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260615T044659_N0512_R076_T45QTD_20260615T083228.jpg,28.23,True,HISTORICAL_ONLY,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260615T044659_N0512_R076_T45QTD_20260615T083228.jpg
10,T44QNJ,2026-06-01,S2B_MSIL2A_20260601T050649_N0512_R019_T44QNJ_20260601T085256,2026-06-01 05:06:49.024,2026-06-01,15.41,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QNJ_20260601T085256.jpg,17.96,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QNJ_20260601T085256.jpg
12,T45QUD,2026-08-27,S2B_MSIL2A_20260615T044659_N0512_R076_T45QUD_20260615T083228,2026-06-15 04:46:59.024,2026-06-15,4.87,73.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260615T044659_N0512_R076_T45QUD_20260615T083228.jpg,25.76,True,HISTORICAL_ONLY,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260615T044659_N0512_R076_T45QUD_20260615T083228.jpg
13,T44QMJ,2026-06-01,S2B_MSIL2A_20260601T050649_N0512_R019_T44QMJ_20260601T085256,2026-06-01 05:06:49.024,2026-06-01,2.73,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QMJ_20260601T085256.jpg,28.01,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260601T050649_N0512_R019_T44QMJ_20260601T085256.jpg
14,T44QQJ,2026-06-01,S2C_MSIL2A_20260603T045701_N0512_R119_T44QQJ_20260603T100112,2026-06-03 04:57:01.025,2026-06-03,0.45,2.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260603T045701_N0512_R119_T44QQJ_20260603T100112.jpg,27.62,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260603T045701_N0512_R119_T44QQJ_20260603T100112.jpg
