sentinel_id,thermal_sources,mgrs_tile,scene_date,cloud_cover
S2B_MSIL2A_20260708T045659_N0512_R119_T44PMQ_20260708T084403,234,T44PMQ,2026-07-08,14.0
S2B_MSIL2A_20260620T053639_N0512_R005_T43REQ_20260620T091923,194,T43REQ,2026-06-20,29.14
S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208,149,T43RCP,2026-06-23,0.02
S2C_MSIL2A_20260606T050651_N0512_R019_T44QLF_20260606T100020,146,T44QLF,2026-06-06,3.75
S2B_MSIL2A_20260601T050649_N0512_R019_T44QLF_20260601T085256,138,T44QLF,2026-06-01,27.78
S2C_MSIL2A_20260819T050601_N0512_R076_T44NNP_20260819T091316,121,T44NNP,2026-08-19,0.18
S2C_MSIL2A_20260603T045701_N0512_R119_T44QPJ_20260603T100112,120,T44QPJ,2026-06-03,0.01
S2A_MSIL2A_20260627T054251_N0512_R005_T43REQ_20260627T085509,111,T43REQ,2026-06-27,6.63
S2C_MSIL2A_20260606T050651_N0512_R019_T44QLE_20260606T100020,108,T44QLE,2026-06-06,5.23
S2C_MSIL2A_20260628T054641_N0512_R048_T43RBP_20260628T085710,107,T43RBP,2026-06-28,0.02
S2B_MSIL2A_20260610T053639_N0512_R005_T43SDS_20260610T091702,102,T43SDS,2026-06-10,0.02
S2C_MSIL2A_20260603T045701_N0512_R119_T44QND_20260603T100112,101,T44QND,2026-06-03,26.5
S2C_MSIL2A_20260819T050601_N0512_R076_T44NNN_20260819T091316,95,T44NNN,2026-08-19,1.62
S2B_MSIL2A_20260703T054639_N0512_R048_T43RBP_20260703T075529,89,T43RBP,2026-07-03,1.81
S2C_MSIL2A_20260628T054641_N0512_R048_T43RCP_20260628T085710,81,T43RCP,2026-06-28,0.02
S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419,79,T43RCP,2026-06-18,7.8
S2C_MSIL2A_20260708T054641_N0512_R048_T43RBP_20260708T085213,77,T43RBP,2026-07-08,10.52
S2B_MSIL2A_20260623T054639_N0512_R048_T43RBP_20260623T075208,77,T43RBP,2026-06-23,3.28
S2B_MSIL2A_20260610T053639_N0512_R005_T43RDQ_20260610T091702,76,T43RDQ,2026-06-10,0.0
S2A_MSIL2A_20260627T054251_N0512_R005_T43RDQ_20260627T103225,75,T43RDQ,2026-06-27,0.82
S2B_MSIL2A_20260703T054639_N0512_R048_T43RCP_20260703T075529,72,T43RCP,2026-07-03,11.86
S2C_MSIL2A_20260708T054641_N0512_R048_T43RCP_20260708T085213,70,T43RCP,2026-07-08,15.92
S2A_MSIL2A_20260605T050231_N0512_R119_T44QPK_20260605T100518,67,T44QPK,2026-06-05,6.39
S2C_MSIL2A_20260606T050651_N0512_R019_T44QLD_20260606T100020,66,T44QLD,2026-06-06,8.04
S2C_MSIL2A_20260611T055631_N0512_R091_T42RVS_20260611T090908,65,T42RVS,2026-06-11,0.92
